iter	Passed	Remaining
804	886	214
805	887	213
806	888	212
807	889	211
808	890	210
809	891	209
810	892	208
811	894	206
812	895	205
813	896	204
814	897	203
815	898	202
816	899	201
817	900	200
818	901	199
819	902	198
820	903	197
821	904	195
822	906	194
823	907	193
824	908	192
825	909	191
826	910	190
827	911	189
828	912	188
829	914	187
830	915	186
831	916	185
832	917	183
833	918	182
834	919	181
835	920	180
836	921	179
837	922	178
838	923	177
839	924	176
840	926	175
841	927	173
842	928	172
843	929	171
844	930	170
845	931	169
846	932	168
847	933	167
848	934	166
849	935	165
850	936	164
851	938	162
852	939	161
853	940	160
854	941	159
855	942	158
856	943	157
857	944	156
858	945	155
859	946	154
860	947	153
861	949	151
862	950	150
863	951	149
864	952	148
865	953	147
866	954	146
867	955	145
868	957	144
869	958	143
870	959	142
871	960	140
872	961	139
873	962	138
874	963	137
875	964	136
876	965	135
877	967	134
878	968	133
879	969	132
880	970	131
881	971	129
882	972	128
883	973	127
884	974	126
885	976	125
886	977	124
887	978	123
888	979	122
889	980	121
890	981	120
891	982	118
892	983	117
893	984	116
894	985	115
895	987	114
896	988	113
897	989	112
898	990	111
899	991	110
900	992	109
901	993	107
902	994	106
903	995	105
904	996	104
905	998	103
906	999	102
907	1000	101
908	1001	100
909	1002	99
910	1003	98
911	1004	96
912	1005	95
913	1006	94
914	1008	93
915	1009	92
916	1010	91
917	1011	90
918	1012	89
919	1013	88
920	1014	87
921	1015	85
922	1016	84
923	1017	83
924	1018	82
925	1020	81
926	1021	80
927	1022	79
928	1023	78
929	1024	77
930	1025	76
931	1026	74
932	1027	73
933	1028	72
934	1029	71
935	1031	70
936	1032	69
937	1033	68
938	1034	67
939	1035	66
940	1036	65
941	1037	63
942	1038	62
943	1039	61
944	1040	60
945	1042	59
946	1043	58
947	1044	57
948	1045	56
949	1046	55
950	1047	53
951	1048	52
952	1049	51
953	1050	50
954	1052	49
955	1053	48
956	1054	47
957	1055	46
958	1056	45
959	1057	44
960	1058	42
961	1059	41
962	1060	40
963	1061	39
964	1063	38
965	1064	37
966	1065	36
967	1066	35
968	1067	34
969	1068	33
970	1069	31
971	1070	30
972	1071	29
973	1072	28
974	1073	27
975	1074	26
976	1076	25
977	1077	24
978	1078	23
979	1079	22
980	1080	20
981	1081	19
982	1082	18
983	1083	17
984	1084	16
985	1085	15
986	1086	14
987	1088	13
988	1089	12
989	1090	11
990	1091	9
991	1092	8
992	1093	7
993	1094	6
994	1095	5
995	1096	4
996	1097	3
997	1098	2
998	1099	1
999	1101	0
